config,path,solver,ode_steps,tau,seed,n_steps,elbo,kl,elbo_mc_stderr,ms_per_step,cumulative_train_s
ODE geometric euler (steps=16),geometric,euler,16.0,,2,800,-0.113516665995121,0.113516665995121,0.004176463931798935,38.476546250021784,30.781237000017427
ODE geometric euler (steps=16),geometric,euler,16.0,,2,1600,-0.08713440597057343,0.08713440597057343,0.0045536276884377,38.43961434940866,61.50338295905385
ODE geometric euler (steps=16),geometric,euler,16.0,,2,3200,-0.06709393858909607,0.06709393858909607,0.004265841096639633,38.41703863283328,122.9345236250665
ODE geometric euler (steps=16),geometric,euler,16.0,,1,200,-0.5536054372787476,0.5536054372787476,0.03389473631978035,35.768716250313446,7.153743250062689
ODE geometric euler (steps=16),geometric,euler,16.0,,1,400,-0.15754619240760803,0.15754619240760803,0.006511949002742767,35.634267292625736,14.253706917050295
ODE geometric euler (steps=16),geometric,euler,16.0,,1,800,-0.10114586353302002,0.10114586353302002,0.0046648504212498665,35.51060083380435,28.408480667043477
ODE geometric euler (steps=16),geometric,euler,16.0,,1,1600,-0.08179477602243423,0.08179477602243423,0.004218081012368202,35.49402007811295,56.790432124980725
ODE geometric euler (steps=16),geometric,euler,16.0,,1,3200,-0.07521723210811615,0.07521723210811615,0.0039572082459926605,35.5305881381355,113.6978820420336
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,2,200,-0.765193521976471,0.765193521976471,0.03121945634484291,19.894108125008643,3.9788216250017285
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,2,400,-0.22141847014427185,0.22141847014427185,0.007720650639384985,19.689682917378377,7.875873166951351
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,2,800,-0.11355509608983994,0.11355509608983994,0.0038643889129161835,19.54482499990263,15.635859999922104
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,2,1600,-0.08502715080976486,0.08502715080976486,0.0038353162817656994,19.522257890639594,31.23561262502335
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,2,3200,-0.05970238149166107,0.05970238149166107,0.0036113429814577103,19.48059223966993,62.33789516694378
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,1,200,-0.5734941363334656,0.5734941363334656,0.03224123269319534,20.22513562522363,4.045027125044726
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,1,400,-0.15705277025699615,0.15705277025699615,0.005492886062711477,20.036667187523562,8.014666875009425
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,1,800,-0.10358155518770218,0.10358155518770218,0.004095546435564756,19.999974531237967,15.999979624990374
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,1,1600,-0.0775524377822876,0.0775524377822876,0.003660379210487008,19.926588801899925,31.88254208303988
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,1,3200,-0.07101527601480484,0.07101527601480484,0.003464250359684229,19.918360924384615,63.73875495803077
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,3,200,-0.6391767263412476,0.6391767263412476,0.01862182840704918,18.56768312456552,3.713536624913104
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,3,400,-0.22691142559051514,0.22691142559051514,0.00663420557975769,18.608962915022857,7.443585166009143
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,3,800,-0.09976564347743988,0.09976564347743988,0.004151265136897564,18.463490519934567,14.770792415947653
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,3,1600,-0.05203625559806824,0.05203625559806824,0.0026984335854649544,18.405716197448783,29.449145915918052
ODE geometric midpoint (steps=4),geometric,midpoint,4.0,,3,3200,-0.04671166092157364,0.04671166092157364,0.0028704677242785692,18.51095214842644,59.23504687496461
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,1,200,-0.5736306309700012,0.5736306309700012,0.032918285578489304,75.33648166980129,15.067296333960257
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,1,400,-0.16008563339710236,0.16008563339710236,0.005597451701760292,74.8586657299893,29.94346629199572
