config,estimator,ablation_group,seed,n_steps,diverged,diverged_at_step,elbo,kl,elbo_mc_stderr,ms_per_step,nfe_per_step,cumulative_train_s,grad_norm_mean,grad_norm_p95,kwarg_MC_samples,kwarg_baseline,kwarg_temperature,kwarg_anneal_rate,kwarg_min_temperature,kwarg_mode,kwarg_ode_steps,kwarg_path,kwarg_ode_solver,kwarg_rtol,kwarg_atol,unstable
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,4,500,False,,-1.8973588943481445,1.8973588943481445,0.09852612018585205,3.546612499980256,,1.773306249990128,1.2882543796281074e+16,92155733344256.0,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,4,1000,False,,-1.073373556137085,1.073373556137085,0.03826228901743889,3.5315988750662655,,3.5315988750662655,1.2882543796281074e+16,92155733344256.0,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,4,2000,True,1851.0,,,,,,,1.2882543796281074e+16,92155733344256.0,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,4,5000,True,1851.0,,,,,,,1.2882543796281074e+16,92155733344256.0,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,4,10000,True,1851.0,,,,,,,1.2882543796281074e+16,92155733344256.0,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,3,200,False,,-4.083566665649414,4.083566665649414,0.1566135138273239,3.4430391649948433,,0.6886078329989687,9.166479684719854e+16,685227699181976.5,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,3,500,False,,-1.289945363998413,1.289945363998413,0.053516387939453125,3.422347083920613,,1.7111735419603065,9.166479684719854e+16,685227699181976.5,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,3,1000,False,,-0.7617433071136475,0.7617433071136475,0.02817051112651825,3.4686993330251426,,3.4686993330251426,9.166479684719854e+16,685227699181976.5,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,3,2000,True,1843.0,,,,,,,9.166479684719854e+16,685227699181976.5,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,3,5000,True,1843.0,,,,,,,9.166479684719854e+16,685227699181976.5,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,3,10000,True,1843.0,,,,,,,9.166479684719854e+16,685227699181976.5,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,5,200,False,,-3.389219045639038,3.389219045639038,0.1534784734249115,3.6090312502346933,,0.7218062500469387,2840245888864160.0,262138560826572.7,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,5,500,False,,-1.179936170578003,1.179936170578003,0.05033513531088829,3.5486644180491567,,1.7743322090245783,2840245888864160.0,262138560826572.7,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,5,1000,False,,-1.240425705909729,1.240425705909729,0.03343711793422699,3.5065361669985577,,3.5065361669985577,2840245888864160.0,262138560826572.7,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,5,2000,True,1655.0,,,,,,,2840245888864160.0,262138560826572.7,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,5,5000,True,1655.0,,,,,,,2840245888864160.0,262138560826572.7,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=64),gumbel_softmax,gs_soft_tau0.5,5,10000,True,1655.0,,,,,,,2840245888864160.0,262138560826572.7,64,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,2,200,False,,-4.059981822967529,4.059981822967529,0.19989390671253204,4.665861665271223,,0.9331723330542445,1.2286407135586568e+17,3.2616452030642246e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,2,500,False,,-1.1742608547210693,1.1742608547210693,0.060660481452941895,4.625693415990099,,2.3128467079950497,1.2286407135586568e+17,3.2616452030642246e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,2,1000,False,,-0.8132438063621521,0.8132438063621521,0.028309669345617294,4.576205041026697,,4.576205041026697,1.2286407135586568e+17,3.2616452030642246e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,2,2000,True,1815.0,,,,,,,1.2286407135586568e+17,3.2616452030642246e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,2,5000,True,1815.0,,,,,,,1.2286407135586568e+17,3.2616452030642246e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,2,10000,True,1815.0,,,,,,,1.2286407135586568e+17,3.2616452030642246e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,1,200,False,,-3.9067118167877197,3.9067118167877197,0.1861891895532608,4.8843262501759455,,0.9768652500351891,8.351802152872272e+16,129511928627200.0,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,1,500,False,,-1.2410179376602173,1.2410179376602173,0.07625488191843033,5.039230666123331,,2.5196153330616653,8.351802152872272e+16,129511928627200.0,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,1,1000,False,,-1.0343549251556396,1.0343549251556396,0.025355560705065727,4.985155708040111,,4.985155708040111,8.351802152872272e+16,129511928627200.0,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,1,2000,True,1471.0,,,,,,,8.351802152872272e+16,129511928627200.0,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,1,5000,True,1471.0,,,,,,,8.351802152872272e+16,129511928627200.0,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,1,10000,True,1471.0,,,,,,,8.351802152872272e+16,129511928627200.0,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,4,200,False,,-2.9534053802490234,2.9534053802490234,0.12276612967252731,4.715017499984242,,0.9430034999968484,1.573702931329158e+17,2.3279094173091722e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,4,500,False,,-0.9605177044868469,0.9605177044868469,0.04617277905344963,4.774480916094035,,2.3872404580470175,1.573702931329158e+17,2.3279094173091722e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,4,1000,False,,-288.26123046875,288.26123046875,1.869992971420288,4.902080832980573,,4.902080832980573,1.573702931329158e+17,2.3279094173091722e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,4,2000,True,1439.0,,,,,,,1.573702931329158e+17,2.3279094173091722e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,4,5000,True,1439.0,,,,,,,1.573702931329158e+17,2.3279094173091722e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,4,10000,True,1439.0,,,,,,,1.573702931329158e+17,2.3279094173091722e+17,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,3,200,False,,-2.4233531951904297,2.4233531951904297,0.11347638815641403,4.771136040217243,,0.9542272080434486,2.4991984729922176e+17,2.627899233528709e+16,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,3,500,False,,-0.7951782941818237,0.7951782941818237,0.03180525451898575,4.597843582043424,,2.298921791021712,2.4991984729922176e+17,2.627899233528709e+16,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,3,1000,False,,-9.499879837036133,9.499879837036133,0.1017874926328659,4.745059665990993,,4.745059665990993,2.4991984729922176e+17,2.627899233528709e+16,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,3,2000,True,1329.0,,,,,,,2.4991984729922176e+17,2.627899233528709e+16,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,3,5000,True,1329.0,,,,,,,2.4991984729922176e+17,2.627899233528709e+16,1024,,0.5,1.0,1e-06,soft,,,,,,True
gs_soft_tau0.5 (MC=1024),gumbel_softmax,gs_soft_tau0.5,3,10000,True,1329.0,,,,,,,2.4991984729922176e+17,2.627899233528709e+16,1024,,0.5,1.0,1e-06,soft,,,,,,True
